====================================   ================================================================================
cmodel.dev.flux                        flux from the de Vaucouleur fit                                                 
cmodel.dev.flux.err                    uncertainty for cmodel.dev.flux                                                 
cmodel.dev.flux.flags                  set if the cmodel.dev.flux measurement failed                                   
cmodel.dev.psffactor                   ''flux'' from applying the algorithm to the PSF model                           
cmodel.dev.flags.psffactor             set if the algorithm could not be applied to the PSF model                      
cmodel.dev.ellipse                     effective radius ellipse from the de Vaucouleur fit                             
cmodel.dev.objective                   -ln(likelihood*prior) at best-fit point for the de Vaucouleur fit               
cmodel.dev.nonlinear                   nonlinear parameters for the de Vaucouleur fit                                  
cmodel.dev.fixed                       fixed parameters for the de Vaucouleur fit                                      
cmodel.dev.flags.trSmall               the optimizer converged because the trust radius became too small; this is a ...
cmodel.dev.flags.maxIter               the optimizer hit the maximum number of iterations and did not converge         
cmodel.dev.flags.numericError          numerical underflow or overflow in model evaluation; usually this means the  ...
cmodel.dev.nIter                       Number of total iterations in stage                                             
cmodel.dev.time                        Time spent in stage                                                             
cmodel.center                          center position used in CModel fit                                              
cmodel.flux                            flux from the final cmodel fit                                                  
cmodel.flux.err                        uncertainty for cmodel.flux                                                     
cmodel.flux.flags                      set if the cmodel.flux measurement failed                                       
cmodel.psffactor                       ''flux'' from applying the algorithm to the PSF model                           
cmodel.flags.psffactor                 set if the algorithm could not be applied to the PSF model                      
cmodel.fracDev                         fraction of flux in de Vaucouleur component                                     
cmodel.objective                       -ln(likelihood) (chi^2) in cmodel fit                                           
cmodel.flags.maxArea                   number of pixels in fit region exceeded the region.maxArea value (usually du ...
cmodel.flags.maxBadPixelFraction       the fraction of bad/clipped pixels in the fit region exceeded region.maxBadP ...
cmodel.flags.noShape                   the shape slot needed to initialize the parameters failed or was not defined    
cmodel.flags.noPsf                     the multishapelet fit to the PSF model did not succeed                          
cmodel.flags.noWcs                     input exposure has no world coordinate system information                       
cmodel.flags.noCalib                   input exposure has no photometric calibration information                       
correctfluxes.apcorr                   correction applied to model fluxes to match to 7.000000-pixel aperture          
correctfluxes.apcorr.flags             flag set if aperture correction failed                                          
classification.extendedness            probability of being extended                                                   
detect.is-patch-inner                  true if source is in the inner region of a coadd patch                          
detect.is-tract-inner                  true if source is in the inner region of a coadd tract                          
detect.is-primary                      true if source has no children and is in the inner region of a coadd patch a ...
====================================   ================================================================================
