====================================  ===========  =====================================================================
cmodel.initial.flags.trSmall          Flag         the optimizer converged because the trust radius became too small ...
cmodel.initial.flags.maxIter          Flag         the optimizer hit the maximum number of iterations and did not co ...
cmodel.initial.flags.numericError     Flag         numerical underflow or overflow in model evaluation; usually this ...
cmodel.initial.nIter                  Int          Number of total iterations in stage                                  
cmodel.initial.time                   Double       Time spent in stage                                                  
cmodel.exp.flux                       Double       flux from the exponential fit                                        
cmodel.exp.flux.err                   Double       uncertainty for cmodel.exp.flux                                      
cmodel.exp.flux.flags                 Flag         set if the cmodel.exp.flux measurement failed                        
cmodel.exp.psffactor                  Float        ''flux'' from applying the algorithm to the PSF model                
cmodel.exp.flags.psffactor            Flag         set if the algorithm could not be applied to the PSF model           
cmodel.exp.ellipse                    MomentsD     effective radius ellipse from the exponential fit                    
cmodel.exp.objective                  Double       -ln(likelihood*prior) at best-fit point for the exponential fit      
cmodel.exp.nonlinear                  ArrayD       nonlinear parameters for the exponential fit                         
cmodel.exp.fixed                      ArrayD       fixed parameters for the exponential fit                             
cmodel.exp.flags.trSmall              Flag         the optimizer converged because the trust radius became too small ...
cmodel.exp.flags.maxIter              Flag         the optimizer hit the maximum number of iterations and did not co ...
cmodel.exp.flags.numericError         Flag         numerical underflow or overflow in model evaluation; usually this ...
cmodel.exp.nIter                      Int          Number of total iterations in stage                                  
cmodel.exp.time                       Double       Time spent in stage                                                  
cmodel.dev.flux                       Double       flux from the de Vaucouleur fit                                      
cmodel.dev.flux.err                   Double       uncertainty for cmodel.dev.flux                                      
cmodel.dev.flux.flags                 Flag         set if the cmodel.dev.flux measurement failed                        
cmodel.dev.psffactor                  Float        ''flux'' from applying the algorithm to the PSF model                
cmodel.dev.flags.psffactor            Flag         set if the algorithm could not be applied to the PSF model           
cmodel.dev.ellipse                    MomentsD     effective radius ellipse from the de Vaucouleur fit                  
cmodel.dev.objective                  Double       -ln(likelihood*prior) at best-fit point for the de Vaucouleur fit    
cmodel.dev.nonlinear                  ArrayD       nonlinear parameters for the de Vaucouleur fit                       
cmodel.dev.fixed                      ArrayD       fixed parameters for the de Vaucouleur fit                           
cmodel.dev.flags.trSmall              Flag         the optimizer converged because the trust radius became too small ...
cmodel.dev.flags.maxIter              Flag         the optimizer hit the maximum number of iterations and did not co ...
cmodel.dev.flags.numericError         Flag         numerical underflow or overflow in model evaluation; usually this ...
cmodel.dev.nIter                      Int          Number of total iterations in stage                                  
cmodel.dev.time                       Double       Time spent in stage                                                  
cmodel.center                         PointD       center position used in CModel fit                                   
cmodel.flux                           Double       flux from the final cmodel fit                                       
cmodel.flux.err                       Double       uncertainty for cmodel.flux                                          
cmodel.flux.flags                     Flag         set if the cmodel.flux measurement failed                            
cmodel.psffactor                      Float        ''flux'' from applying the algorithm to the PSF model                
cmodel.flags.psffactor                Flag         set if the algorithm could not be applied to the PSF model           
cmodel.fracDev                        Double       fraction of flux in de Vaucouleur component                          
cmodel.objective                      Double       -ln(likelihood) (chi^2) in cmodel fit                                
cmodel.flags.maxArea                  Flag         number of pixels in fit region exceeded the region.maxArea value  ...
cmodel.flags.maxBadPixelFraction      Flag         the fraction of bad/clipped pixels in the fit region exceeded reg ...
cmodel.flags.noShape                  Flag         the shape slot needed to initialize the parameters failed or was  ...
cmodel.flags.noPsf                    Flag         the multishapelet fit to the PSF model did not succeed               
cmodel.flags.noWcs                    Flag         input exposure has no world coordinate system information            
cmodel.flags.noCalib                  Flag         input exposure has no photometric calibration information            
correctfluxes.apcorr                  Float        correction applied to model fluxes to match to 7.000000-pixel ape ...
correctfluxes.apcorr.flags            Flag         flag set if aperture correction failed                               
classification.extendedness           Double       probability of being extended                                        
detect.is-patch-inner                 Flag         true if source is in the inner region of a coadd patch               
detect.is-tract-inner                 Flag         true if source is in the inner region of a coadd tract               
detect.is-primary                     Flag         true if source has no children and is in the inner region of a co ...
====================================  ===========  =====================================================================
